"","TRUNC(crsarrtime/100L)","dayofweek","n_flights","med_delay","na.rm","mean_delay"
"155",21,6,106235,-5,TRUE,4.10114369087401
"156",21,7,157623,-1,TRUE,10.4939000019033
"157",22,1,126552,-2,TRUE,9.73714362475504
"158",22,2,118793,-3,TRUE,6.9834165312771
"159",22,3,123418,-2,TRUE,9.18757393573061
"160",22,4,126956,1,TRUE,13.8110841551404
"161",22,5,128583,0,TRUE,12.0515542490065
"162",22,6,79152,-5,TRUE,3.6464144936325
"163",22,7,127586,-1,TRUE,10.8250670136222
"164",23,1,96304,-2,TRUE,8.41331616547599
"165",23,2,87503,-3,TRUE,6.15231477777905
"166",23,3,93241,-3,TRUE,7.89976512478416
"167",23,4,98189,0,TRUE,11.9419996129913
"168",23,5,100159,-1,TRUE,10.2053035673279
"169",23,6,59301,-5,TRUE,2.82595571744153
"170",23,7,99922,-1,TRUE,9.13367426592742
"171",24,1,7,4,TRUE,23.4285714285714
"172",24,2,6,12,TRUE,27.5
"173",24,3,13,-4,TRUE,14.1538461538462
"174",24,4,7,-2,TRUE,2.85714285714286
"175",24,5,10,-11,TRUE,-10
"176",24,6,9,-2,TRUE,-4.22222222222222
"177",24,7,7,-11,TRUE,10.7142857142857
